"","replication","l_seq","n_seq","motif","p.value","p.value.adj","criterion","nnoi","n.pos05","n.pos001","n.neg05","n.neg001","n.pos.adj05","n.pos.adj001","n.neg.adj05","n.neg.adj001"
"1",1,8,250,"4.2_0",1,1,"ig",25,0,0,3,1,0,0,0,0
"2",1,8,250,"3.1_1",0.519088424993804,1,"ig",25,0,0,3,1,0,0,0,0
"3",1,8,250,"3.1_4",0.273241517593479,1,"ig",1,0,0,3,1,0,0,0,0
"4",1,8,250,"2.2_5",0.00226345179430298,0.765046706474409,"ig",1,0,0,2,1,0,0,0,0
"5",1,8,250,"4.4_5",0.512699619344036,1,"ig",1,0,0,3,1,0,0,0,0
"6",1,8,250,"4.2_0",1,1,"kl",25,0,0,3,1,0,0,0,0
"7",1,8,250,"3.1_1",0.519088424993804,1,"kl",25,0,0,3,1,0,0,0,0
"8",1,8,250,"3.1_4",0.273241517593479,1,"kl",1,0,0,3,1,0,0,0,0
"9",1,8,250,"2.2_5",0.00226345179430298,0.765046706474409,"kl",1,0,0,2,1,0,0,0,0
"10",1,8,250,"4.4_5",0.512699619344036,1,"kl",1,0,0,3,1,0,0,0,0
"11",1,8,250,"4.2_0",1,1,"cs",25,0,0,3,1,0,0,0,0
"12",1,8,250,"3.1_1",0.519088424993804,1,"cs",25,0,0,3,1,0,0,0,0
"13",1,8,250,"3.1_4",0.273241517593479,1,"cs",1,0,0,3,1,0,0,0,0
"14",1,8,250,"2.2_5",0.00226345179430298,0.765046706474409,"cs",1,0,0,2,1,0,0,0,0
"15",1,8,250,"4.4_5",0.512699619344036,1,"cs",1,0,0,3,1,0,0,0,0
"16",1,12,250,"2.2_1",0.944618063640045,1,"ig",24,0,0,2,1,0,0,0,0
"17",1,12,250,"2.1_4",0.253324515824956,1,"ig",1,0,0,2,1,0,0,0,0
"18",1,12,250,"1.4_5",0.12813549727636,1,"ig",1,0,0,2,1,0,0,0,0
"19",1,12,250,"1.2.4_1.1",0.000272415273914639,0.184152725166296,"ig",1,0,0,1,0,0,0,0,0
"20",1,12,250,"3.3.4_0.2",0.00152829989007186,0.516565362844289,"ig",1,0,0,1,1,0,0,0,0
"21",1,12,250,"2.2_1",0.944618063640045,1,"kl",24,0,0,2,1,0,0,0,0
"22",1,12,250,"2.1_4",0.253324515824956,1,"kl",1,0,0,2,1,0,0,0,0
"23",1,12,250,"1.4_5",0.12813549727636,1,"kl",1,0,0,2,1,0,0,0,0
"24",1,12,250,"1.2.4_1.1",0.000272415273914639,0.184152725166296,"kl",1,0,0,1,0,0,0,0,0
"25",1,12,250,"3.3.4_0.2",0.00152829989007186,0.516565362844289,"kl",1,0,0,1,1,0,0,0,0
"26",1,12,250,"2.2_1",0.944618063640045,1,"cs",24,0,0,2,1,0,0,0,0
"27",1,12,250,"2.1_4",0.253324515824956,1,"cs",1,0,0,2,1,0,0,0,0
"28",1,12,250,"1.4_5",0.12813549727636,1,"cs",1,0,0,2,1,0,0,0,0
"29",1,12,250,"1.2.4_1.1",0.000272415273914639,0.184152725166296,"cs",1,0,0,1,0,0,0,0,0
"30",1,12,250,"3.3.4_0.2",0.00152829989007186,0.516565362844289,"cs",1,0,0,1,1,0,0,0,0
"31",1,16,250,"1.1_3",0.785124063555152,1,"ig",1,0,0,23,5,0,0,5,2
"32",1,16,250,"4.2.3_2.0",0.000121053130864301,0.0163421726666807,"ig",1,0,0,22,4,0,0,4,2
"33",1,16,250,"1.4.2_0.1",2.34157693235204e-09,1.58056442933763e-06,"ig",1,0,0,22,4,0,0,4,1
"34",1,16,250,"2.1.2_1.2",0.000110857938466491,0.0163421726666807,"ig",1,0,0,22,4,0,0,4,2
"35",1,16,250,"4.2.2_1.2",2.89331009900584e-05,0.00650994772276314,"ig",1,0,0,22,4,0,0,4,2
"36",1,16,250,"1.1_3",0.785124063555152,1,"kl",1,0,0,23,5,0,0,5,2
"37",1,16,250,"4.2.3_2.0",0.000121053130864301,0.0163421726666807,"kl",1,0,0,22,4,0,0,4,2
"38",1,16,250,"1.4.2_0.1",2.34157693235204e-09,1.58056442933763e-06,"kl",1,0,0,22,4,0,0,4,1
"39",1,16,250,"2.1.2_1.2",0.000110857938466491,0.0163421726666807,"kl",1,0,0,22,4,0,0,4,2
"40",1,16,250,"4.2.2_1.2",2.89331009900584e-05,0.00650994772276314,"kl",1,0,0,22,4,0,0,4,2
"41",1,16,250,"1.1_3",0.785124063555152,1,"cs",1,0,0,23,5,0,0,5,2
"42",1,16,250,"4.2.3_2.0",0.000121053130864301,0.0163421726666807,"cs",1,0,0,22,4,0,0,4,2
"43",1,16,250,"1.4.2_0.1",2.34157693235204e-09,1.58056442933763e-06,"cs",1,0,0,22,4,0,0,4,1
"44",1,16,250,"2.1.2_1.2",0.000110857938466491,0.0163421726666807,"cs",1,0,0,22,4,0,0,4,2
"45",1,16,250,"4.2.2_1.2",2.89331009900584e-05,0.00650994772276314,"cs",1,0,0,22,4,0,0,4,2
"46",1,20,250,"2.1_3",0.0136023515730242,0.765132275982613,"ig",1,0,0,17,4,0,0,4,0
"47",1,20,250,"2.2_4",0.000199982073856991,0.0337469749633673,"ig",1,0,0,17,3,0,0,3,0
"48",1,20,250,"4.2_4",0.000199982073856991,0.0337469749633673,"ig",1,0,0,17,3,0,0,3,0
"49",1,20,250,"4.3.2_1.2",0.00525646114733372,0.453121081280044,"ig",1,0,0,17,4,0,0,4,0
"50",1,20,250,"2.1.1_2.2",0.0744169099090631,1,"ig",1,0,0,18,4,0,0,4,0
"51",1,20,250,"2.1_3",0.0136023515730242,0.765132275982613,"kl",1,0,0,17,4,0,0,4,0
"52",1,20,250,"2.2_4",0.000199982073856991,0.0337469749633673,"kl",1,0,0,17,3,0,0,3,0
"53",1,20,250,"4.2_4",0.000199982073856991,0.0337469749633673,"kl",1,0,0,17,3,0,0,3,0
"54",1,20,250,"4.3.2_1.2",0.00525646114733372,0.453121081280044,"kl",1,0,0,17,4,0,0,4,0
"55",1,20,250,"2.1.1_2.2",0.0744169099090631,1,"kl",1,0,0,18,4,0,0,4,0
"56",1,20,250,"2.1_3",0.0136023515730242,0.765132275982613,"cs",1,0,0,17,4,0,0,4,0
"57",1,20,250,"2.2_4",0.000199982073856991,0.0337469749633673,"cs",1,0,0,17,3,0,0,3,0
"58",1,20,250,"4.2_4",0.000199982073856991,0.0337469749633673,"cs",1,0,0,17,3,0,0,3,0
"59",1,20,250,"4.3.2_1.2",0.00525646114733372,0.453121081280044,"cs",1,0,0,17,4,0,0,4,0
"60",1,20,250,"2.1.1_2.2",0.0744169099090631,1,"cs",1,0,0,18,4,0,0,4,0
"61",1,24,250,"4.3_3",0.582938675659302,1,"ig",1,0,0,4,0,0,0,0,0
"62",1,24,250,"2.1_4",0.952169491950547,1,"ig",1,0,0,4,0,0,0,0,0
"63",1,24,250,"1.4_4",0.625147539118735,1,"ig",1,0,0,4,0,0,0,0,0
