"","replication","l_seq","n_seq","motif","p.value","p.value.adj","criterion","nnoi","n.pos05","n.pos001","n.neg05","n.neg001","n.pos.adj05","n.pos.adj001","n.neg.adj05","n.neg.adj001"
"1",1,8,250,"3.2_2",0.358948457609178,1,"ig",25,0,0,9,5,0,0,2,1
"2",1,8,250,"2.3_3",0.000486365312319137,0.0657565902255473,"ig",1,0,0,8,4,0,0,2,1
"3",1,8,250,"3.1.1_0.1",0.000486365312319137,0.0657565902255473,"ig",1,0,0,8,4,0,0,2,1
"4",1,8,250,"2.3.4_2.1",1.14843682563759e-07,7.7634329413101e-05,"ig",1,0,0,8,4,0,0,1,0
"5",1,8,250,"1.4.4_1.2",3.39996171203616e-05,0.0114918705866822,"ig",1,0,0,8,4,0,0,1,1
"6",1,8,250,"3.2_2",0.358948457609178,1,"kl",25,0,0,9,5,0,0,2,1
"7",1,8,250,"2.3_3",0.000486365312319137,0.0657565902255473,"kl",1,0,0,8,4,0,0,2,1
"8",1,8,250,"3.1.1_0.1",0.000486365312319137,0.0657565902255473,"kl",1,0,0,8,4,0,0,2,1
"9",1,8,250,"2.3.4_2.1",1.14843682563759e-07,7.7634329413101e-05,"kl",1,0,0,8,4,0,0,1,0
"10",1,8,250,"1.4.4_1.2",3.39996171203616e-05,0.0114918705866822,"kl",1,0,0,8,4,0,0,1,1
"11",1,8,250,"3.2_2",0.358948457609178,1,"cs",25,0,0,9,5,0,0,2,1
"12",1,8,250,"2.3_3",0.000486365312319137,0.0657565902255473,"cs",1,0,0,8,4,0,0,2,1
"13",1,8,250,"3.1.1_0.1",0.000486365312319137,0.0657565902255473,"cs",1,0,0,8,4,0,0,2,1
"14",1,8,250,"2.3.4_2.1",1.14843682563759e-07,7.7634329413101e-05,"cs",1,0,0,8,4,0,0,1,0
"15",1,8,250,"1.4.4_1.2",3.39996171203616e-05,0.0114918705866822,"cs",1,0,0,8,4,0,0,1,1
"16",1,12,250,"3.2_2",0.120754875309978,1,"ig",25,0,0,6,2,0,0,2,0
"17",1,12,250,"2.3_3",0.346321486324268,1,"ig",1,0,0,6,2,0,0,2,0
"18",1,12,250,"3.1.1_0.1",0.234609980445302,1,"ig",1,0,0,6,2,0,0,2,0
"19",1,12,250,"2.3.4_2.1",4.22964781243707e-06,0.00285924192120746,"ig",1,0,0,5,1,0,0,1,0
"20",1,12,250,"1.4.4_1.2",4.85475563209992e-05,0.0164090740364977,"ig",1,0,0,5,1,0,0,1,0
"21",1,12,250,"3.2_2",0.120754875309978,1,"kl",25,0,0,6,2,0,0,2,0
"22",1,12,250,"2.3_3",0.346321486324268,1,"kl",1,0,0,6,2,0,0,2,0
"23",1,12,250,"3.1.1_0.1",0.234609980445302,1,"kl",1,0,0,6,2,0,0,2,0
"24",1,12,250,"2.3.4_2.1",4.22964781243707e-06,0.00285924192120746,"kl",1,0,0,5,1,0,0,1,0
"25",1,12,250,"1.4.4_1.2",4.85475563209992e-05,0.0164090740364977,"kl",1,0,0,5,1,0,0,1,0
"26",1,12,250,"3.2_2",0.120754875309978,1,"cs",25,0,0,6,2,0,0,2,0
"27",1,12,250,"2.3_3",0.346321486324268,1,"cs",1,0,0,6,2,0,0,2,0
"28",1,12,250,"3.1.1_0.1",0.234609980445302,1,"cs",1,0,0,6,2,0,0,2,0
"29",1,12,250,"2.3.4_2.1",4.22964781243707e-06,0.00285924192120746,"cs",1,0,0,5,1,0,0,1,0
"30",1,12,250,"1.4.4_1.2",4.85475563209992e-05,0.0164090740364977,"cs",1,0,0,5,1,0,0,1,0
"31",1,16,250,"3.2_2",0.82024816981332,1,"ig",25,0,0,4,0,0,0,0,0
"32",1,16,250,"2.3_3",0.913384731093073,1,"ig",1,0,0,4,0,0,0,0,0
"33",1,16,250,"3.1.1_0.1",0.00487246118799822,1,"ig",1,0,0,3,0,0,0,0,0
"34",1,16,250,"2.3.4_2.1",0.0437751479592954,1,"ig",1,0,0,3,0,0,0,0,0
"35",1,16,250,"1.4.4_1.2",0.265221269245907,1,"ig",1,0,0,4,0,0,0,0,0
"36",1,16,250,"3.2_2",0.82024816981332,1,"kl",25,0,0,4,0,0,0,0,0
"37",1,16,250,"2.3_3",0.913384731093073,1,"kl",1,0,0,4,0,0,0,0,0
"38",1,16,250,"3.1.1_0.1",0.00487246118799822,1,"kl",1,0,0,3,0,0,0,0,0
"39",1,16,250,"2.3.4_2.1",0.0437751479592954,1,"kl",1,0,0,3,0,0,0,0,0
"40",1,16,250,"1.4.4_1.2",0.265221269245907,1,"kl",1,0,0,4,0,0,0,0,0
"41",1,16,250,"3.2_2",0.82024816981332,1,"cs",25,0,0,4,0,0,0,0,0
"42",1,16,250,"2.3_3",0.913384731093073,1,"cs",1,0,0,4,0,0,0,0,0
"43",1,16,250,"3.1.1_0.1",0.00487246118799822,1,"cs",1,0,0,3,0,0,0,0,0
"44",1,16,250,"2.3.4_2.1",0.0437751479592954,1,"cs",1,0,0,3,0,0,0,0,0
"45",1,16,250,"1.4.4_1.2",0.265221269245907,1,"cs",1,0,0,4,0,0,0,0,0
"46",1,20,250,"3.2_2",0.777997447666417,1,"ig",25,0,0,0,0,0,0,0,0
"47",1,20,250,"2.3_3",1,1,"ig",1,0,0,0,0,0,0,0,0
"48",1,20,250,"3.1.1_0.1",0.509754133497906,1,"ig",1,0,0,0,0,0,0,0,0
"49",1,20,250,"2.3.4_2.1",0.287245567773398,1,"ig",1,0,0,0,0,0,0,0,0
"50",1,20,250,"1.4.4_1.2",0.238882499749659,1,"ig",1,0,0,0,0,0,0,0,0
"51",1,20,250,"3.2_2",0.777997447666417,1,"kl",25,0,0,0,0,0,0,0,0
"52",1,20,250,"2.3_3",1,1,"kl",1,0,0,0,0,0,0,0,0
"53",1,20,250,"3.1.1_0.1",0.509754133497906,1,"kl",1,0,0,0,0,0,0,0,0
"54",1,20,250,"2.3.4_2.1",0.287245567773398,1,"kl",1,0,0,0,0,0,0,0,0
"55",1,20,250,"1.4.4_1.2",0.238882499749659,1,"kl",1,0,0,0,0,0,0,0,0
"56",1,20,250,"3.2_2",0.777997447666417,1,"cs",25,0,0,0,0,0,0,0,0
"57",1,20,250,"2.3_3",1,1,"cs",1,0,0,0,0,0,0,0,0
"58",1,20,250,"3.1.1_0.1",0.509754133497906,1,"cs",1,0,0,0,0,0,0,0,0
"59",1,20,250,"2.3.4_2.1",0.287245567773398,1,"cs",1,0,0,0,0,0,0,0,0
"60",1,20,250,"1.4.4_1.2",0.238882499749659,1,"cs",1,0,0,0,0,0,0,0,0
"61",1,24,250,"3.2_2",0.0141606047592475,1,"ig",25,1,0,2,0,0,0,0,0
"62",1,24,250,"2.3_3",0.628420018818417,1,"ig",1,0,0,4,0,0,0,0,0
"63",1,24,250,"3.1.1_0.1",0.531626787300944,1,"ig",1,0,0,4,0,0,0,0,0
"64",1,24,250,"2.3.4_2.1",0.128644369308657,1,"ig",1,0,0,4,0,0,0,0,0
"65",1,24,250,"1.4.4_1.2",0.45133241724001,1,"ig",1,0,0,4,0,0,0,0,0
"66",1,24,250,"3.2_2",0.0141606047592475,1,"kl",25,1,0,2,0,0,0,0,0
"67",1,24,250,"2.3_3",0.628420018818417,1,"kl",1,0,0,4,0,0,0,0,0
"68",1,24,250,"3.1.1_0.1",0.531626787300944,1,"kl",1,0,0,4,0,0,0,0,0
"69",1,24,250,"2.3.4_2.1",0.128644369308657,1,"kl",1,0,0,4,0,0,0,0,0
"70",1,24,250,"1.4.4_1.2",0.45133241724001,1,"kl",1,0,0,4,0,0,0,0,0
"71",1,24,250,"3.2_2",0.0141606047592475,1,"cs",25,1,0,2,0,0,0,0,0
"72",1,24,250,"2.3_3",0.628420018818417,1,"cs",1,0,0,4,0,0,0,0,0
"73",1,24,250,"3.1.1_0.1",0.531626787300944,1,"cs",1,0,0,4,0,0,0,0,0
